,0
0,RT @Jim_Jordan: #COVID19 didn’t close restaurants. Government did.
1,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
2,"Dear @ATO_gov_au, I know you have a keen interest in preventing fraud. Your site says superannuation release is only for those “adversely financially affected by COVID-19”.  Is my Liberal colleague encouraging people to break the law by accessing super to buy a home? #auspol"
3,"Americans are in urgent need for emergency #COVID19 relief—lifelines like food, shelter, unemployment benefits, and small business relief. The President must immediately sign or veto the COVID-19 relief package so Congress can act before it's too late. https://t.co/54XdZRCmju"
4,"Trump gets no credit for finally signing the Bill helping desperate Americans deal with the damn economic crash he created. For months, he did nothing to combat the crisis caused by #Covid19. He is &amp; always will be remembered as the president who let Americans die on his watch."
5,RT @MollyJongFast: I know we throw around the phrase “is the dumbest” but.......
6,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
7,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
8,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
9,"When I talked about the SEETHING resentment that my country and others harbor towards African nations for having virtually nonexistent COVID19 rates AND refusing to offer up their citizens as vaccine guinea pigs, folks thought I was nuts."
10,RT @PaulaChertok: 😳 &gt;&gt; Neanderthal gene offers protection for #COVID19 variant in UK with high viral loads https://t.co/gQNuzeJeoQ
11,"Yes they did, now explain why the government closed churches and schools?"
12,"As noted in the article, this has been a trend across polls asking Americans if they will get the vaccine. Acceptance shot up after efficacy results cane out, and upon approval. About 80% of Americans say they will get vaccinated. 

Cancel corona 💉👊🏻💥  https://t.co/WWVO2QIGTS https://t.co/zXNxBtNFs9"
13,RT @Jim_Jordan: #COVID19 didn’t close restaurants. Government did.
14,RT @Jim_Jordan: #COVID19 didn’t close restaurants. Government did.
15,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
16,Beware - new Coronavirus tiers could mean arrears rising in 2021  https://t.co/cPLsDnk5LE #debt #arrear #CovidVaccine #COVID19
17,"""It's not just #COVID19 that is killing people,
it's underprivilege,
it's lack of access,
it's years of living with health conditions that haven't been properly managed because of the colour of your skin, or your ethnicity, or your social group""- @DrMikeRyan #HealthForAll https://t.co/FCdEi3TGt5"
18,"@Jim_Jordan #COVID19 didn’t make you government dependent. Government did. 

#shittycongress"
19,Dr. Richard Strauss sexually abused 177 wrestlers at Ohio State University and guess who covered it up? @Jim_Jordan did. https://t.co/KGhoN57GBd
20,"RT @NHKWORLD_News: Let’s look at the possibility of infection at dentists, pools and baths.＃COVID19 https://t.co/HNQ6RLOQKd"
21,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
22,RT @Jim_Jordan: #COVID19 didn’t close churches. Government did.
23,Video show the explosion coming from the building not the RV #cnbc #bloomberg #thestreet #abcnews #cbsnews #nbcnews #trump #COVID19 #coronavirus #beyonce #MileyCyrus #kardashians
24,"Corrupt @KLoeffler and Corrupter @sendavidperdue have profited from #COVID19 while it wiped out human life without prejudice. 

Georgia keep voting for @ossoff &amp; @ReverendWarnock to take care of us the people! 

https://t.co/ApWI3YdNJ3"
25,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
26,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
27,"@ladivaza Hi, May You Please Donate &amp; Share (Retweet &amp; Facebook) To Help My Cousin Needs Your Help/Love She’s A Victim Of A Hate Crime #COVID19 #Flipthesenate  #BLM  #WW84 #Fundraisingtwitter #5Gsfor5G #StopRacism #Blessing @gofundme @beyonce #gunviolence #Boost https://t.co/3nEQW5K4r5"
28,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
29,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
30,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
31,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
32,RT @Jim_Jordan: #COVID19 didn’t close schools. Government did.
33,Exactly ‼️‼️‼️ We need sunshine and therapeutics. Not vaccines with who knows what in them ⁉️‼️⁉️@drdavidsamadi
34,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
35,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
36,"I often hear this complaint: ""Why doesn't the media show more film &amp; photos of patients suffering w#COVID19 ? Deniers would have a harder time claiming it's no big deal.""
But reporters &amp; cameras are blocked. And yes, it was #Trump idea:
https://t.co/f1N4Yjnd7O"
37,"“Some of them are banging on the walls trying to get help.” Tendercare in Scarborough is struggling to control a  #COVID19 outbreak that’s killed 43 residents, while grappling with a staffing shortage. Physicians and family members are calling for crisis intervention. @CityNews https://t.co/wXKj4zjf6E"
38,RT @Jim_Jordan: #COVID19 didn’t close schools. Government did.
39,So federal govt wants to deport people who break #socialdistancing rules but leaves it to states to deal with all the incoming #infections while #borderforce does nothing? Seriously?#LNPCrimeFamily #LNPfail #COVID19 #COVID19nsw #auspol
40,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
41,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
42,Let's be responsible and take caution peeps 🙏🏽
43,@NYGovCuomo social justice over everything and everyone  else that makes sense #k #COVID19
44,RT @Jim_Jordan: #COVID19 didn’t close churches. Government did.
45,Dr. Richard Strauss sexually abused 177 wrestlers at Ohio State University and guess who covered it up? @Jim_Jordan did.
46,RT @CyrilRamaphosa: #COVID19 | Update on developments in relation to the national response on the #coronavirus pandemic #StaySafe https://t…
47,"Black people are nearly 3x more likely than white people to get false readings from pulse oximeters – which are used commonly for #COVID19.

The device, which measures blood oxygen levels, gave misreadings to Black patients ~1 in 10 times due to dark skin tone, says a new study. https://t.co/boYQ1v1PPo"
48,RT @Jim_Jordan: #COVID19 didn’t close schools. Government did.
49,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
50,"I know you've heard that we've witnessed 1000 deaths a day since mid-Sept and 3000 deaths a day every day in December reportedly. But that is NOT the case. The CDC adds deaths each day and we show you how they accumulate by month.

Here are #COVID19 deaths by week w/months 
1/ https://t.co/F0SvjoybFp"
