,0
0,"IMMIGRANTS MAKE SOCIETY BETTER—From the “ghettos in Germany 🇩🇪” to now the celebrated magazine cover heroes of Germany... 

➡️ Turkish 🇹🇷 immigrants like the husband-wife founders of 🇩🇪 BioNTech (maker of the Pfizer #COVID19 vaccine) are finally honored for their contributions. https://t.co/8CqZn1BINF"
1,RT @ashoswai: Are India's leaders going to get vaccinated with India-made #COVID19 vaccines publicly to boost public confidence? https://t.…
2,"Dec 31

1 of every 5 #Canadians with #COVID19 in long-term/ personal care &amp; retirement homes has died since Feb

1 in 3 in BC
1 in 9 in AB
1 in 8 in SK
1 in 5 in MB
1 in 6 in ON
1 in 3 in QC

There are 11,252 LTC cases in the last 28 days. https://t.co/rMsXGt3KiY"
3,"The escalating dis- and misinformation about COVID19 is making my stomach turn. There is just so much that can be done to counter it. The response does necessarily need to be punitive, there are a multitude of measures out there. Thixo."
4,"RT @OtunbaIcon001: “Ebola came we survived , Corona has come and we will definitely survive 🤝✅”

    - Pastor Adeboye"
5,Coronavirus vaccine appointment turns into surprise marriage proposal https://t.co/bxWUu6mglV
6,Coronavirus vaccine appointment turns into surprise marriage proposal https://t.co/gB9TZOcZCP
7,@DjSoxxy Corona spread between 10pm-4am then from 4:01-9:59 it takes a break to allow for rallies
8,The chaos that faces parents and schools tomorrow is a direct result of the government's failure. Urgent priority must be to keep all children learning - where is the gvt's plan to do so? https://t.co/tZhJXPzfni
9,"Huge—the #SARSCoV2 coronavirus was identified in a 4 year old in Milan 🇮🇹 in November 2019, and had *no travel history*. They retested it again and again to make sure. This moves back the date of first 🇮🇹 case by ~3 months, and corroborates wastewater positive tests too. #COVID19 https://t.co/t7uNbyaOOx"
10,"Appalling to watch @BorisJohnson this morning waffling, blustering and point blank refusing to answer direct questions. No wonder Britain’s response to #COVID19 is such a mess #marr https://t.co/fDb0ovGSmL"
11,"Honourable PM Sir,
Congratulations to you for your wonderful ways of tackling Corona pandemic in India a country with 130 crores population keeping the death rate @ the lowest ebb when foreign nations with low population are struggling to fight with fast- spreading Corona virus."
12,"RT @reading_next: https://t.co/CPBHkUwU3C 
OSMANABAD CORONA VIRUS UPDATES ON SUNDAY, 3RD JANUARY 2020 AT 4.00 PM https://t.co/8ZWh3jzo0d"
13,"📍Worrisome new data—new B117 variant is not only more infectious, it’s potentially more infectious in children 0-9 (+24%) and 10-19 (+14%), and less among 60-79, compared to common strains. More sobering—the R estimate is much higher. 

THREAD🧵 #COVID19 https://t.co/2tXzvy4QpU https://t.co/PiUbf9zAPS"
14,"RT @danielblanco3d: RT @EctoplasmPinky: RT @danielblanco3d: RT @EctoplasmPinky: RT @danielblanco3d: RT @danielblanco3d: Small and infectious
#PinkyIsOnHerWay #indiedev #COVID19 https://t.co/GJtPvn7yA8"
15,"Was there ever a time when unqualified newspaper columnists would spew utter rubbish on medical conditions - like polio, smallpox, cholera, or TB? Now they’re all experts on #Covid19 FFS."
16,Oh and wow look at that it’s online. 🖕🏾to all the people who don’t care about corona
17,"@MartinFierro769 Take a closer look at adverse effects of #COVID19 #vaccines at our website: https://t.co/Btjj3eevB3 Data set for ~375 patients including adverse effect, detailed description, age, manufacturer of vaccine. Healthy people should think 2x about it.  #NoMandatoryCOVID19Vaccinations! https://t.co/EhuXgnfZqZ"
18,"THREAD: Every death from Covid-19 is a tragedy—all 340,000 Americans so far—but it's hard to ignore that the Republican Party has become a literal death cult, all to assuage Trump's ego. Every state and federal elected official to die so far from Covid-19 is a Republican...."
19,Today’s #BBC howler. @AndrewMarr9 asks Dr. Alison Pittard to “paint a picture” of what it’s like inside hospitals and sounds disappointed that she doesn’t say it’s “overwhelmed”. Why not send one of the hundreds of camera crews and actually get a picture. Planks. #COVID19 https://t.co/dsZ7FYrLmq
20,"neither principled nor effective opposition 👇🏽🚮

our neoliberal consensus is a public health disaster"
21,"To those who now have 28 packages of pasta. To those who are searching the black market for hand sanitizer &amp; walk around with face mask. And to those who are planning to flee with their kids out of a Corona infected area:
Never again look down on people who flee from war &amp; famine"
22,"If corona was won with Ayurveda, Siddha without collapsing economy w extended lockdowns that would've been #AtmaNirbharBharat
Not Oxford Astrazeneca Vaccine manuf here with Poonawala getting Govt protection from lawsuits on adverse reactions!
Any Vaccine Injury compensation plan?"
23,"Huge—the #SARSCoV2 coronavirus was identified in a 4 year old in Milan 🇮🇹 in November 2019, and had *no travel history*. They retested it again and again to make sure. This moves back the date of first 🇮🇹 case by ~3 months, and corroborates wastewater positive tests too. #COVID19 https://t.co/t7uNbyaOOx"
24,On signale
25,RT @putey_pute: What’s the point when you refuse to take action against Margaret Covid?
26,Here's the full story on @PeterHotez's vaccine journey from West Hartford onward through the #covid19 fight: https://t.co/b9tukXXRi0
27,"#DelayAllProffsUHS 
@Shafqat_Mahmood 
@DrMuradPTI 
We dont want to die by getting corona in hostels or frm exam centers, pls delay our exams until situation gets better! If i die, my tweets wont let you live in peace!
Exams can wait!"
28,Bleak future for the COVID19 vaccines. At least in India. We are literally being herded into herd immunity.
29,"We reiterate our gratitude to doctors, medical staff, scientists, police personnel, sanitation workers and all Corona warriors for the outstanding work done, that too in adverse circumstances. We will remain eternally grateful to them for saving many lives."
30,"RT @antonioguterres: Vaccine nationalism is not only unfair, it is self-defeating.

No country will be safe from #COVID19 until all countri…"
31,Please announce tonight I get another 2 weeks off
32,"Due to COVID19 I’ll be blessing the first 900 people to like &amp; retweet this $500- $1500 through Cashapp, Venmo, Apple Pay And Zelle Money (comment your tags below)"
33,"RT @gunjakapoor: If you don't have an empty chair on your dinner table, be truly grateful to the Almighty &amp; Universe for everything 🙏
#COVI…"
34,"Trump Admin's Warp Speed Chief Advisor said on @FaceTheNation that it might be possible to give people a half-rate injection of the #COVID19 vaccines and impart full immunity. 

Would the virus become resistant under that scenario? 

FDA may be asked to consider this option."
35,"Good move by @US_FDA to make clear that individuals receiving Pfizer or Moderna #covid19 vaccines must get two full doses. 

That's what the data show. What we need to focus is to ramp up vaccine production, and, critically, the speed of vaccination.

https://t.co/0EpMkcDQZs"
36,RT @DrEricDing: BREAKING—New York has ordered healthcare providers to use #COVID19 vaccines within 7 days of receipt or face fines up to $1…
37,"🟢 RALLY FOR A ZERO COVID STRATEGY 🟢

On Saturday 16 January join trade unionists, MPs, anti-racist activists and health workers for a conference on what it will take to eliminate #COVID19 

More info ➡️ https://t.co/kc1lczQ86C

#CloseTheSchools #MakeSchoolsSafe #NHSheroes https://t.co/lzuQNQAPZN"
38,"RT @bmcbbsr: Update on newly detected #COVID19 cases in the last 
24 hrs under the BMC area on 5th Jan (till 9am). https://t.co/lkpkMi9f9a"
39,"@LockdownNo Maybe BA should consider operating direct flight from Heathrow, Birmingham, Manchester to Orkney. That way we could have some fun &amp; support the aviation industry as well as pubs &amp; gyms in Orkney #lockdown #lockdown3 #lockdown2021 #COVID #COVID19"
40,"RT Gartner_inc ""Gartner predicts that the majority of new #CIO hiring processes will rank determination and sensitivity as critical personal characteristics in 2021, as #COVID19 continues to shift #leadership demands. Learn more via @Gartner_IT. https://t.co/aa4tkazc67 #IT"""
41,"RT @khairul_hafidz: Stay strong to all and frontliners.

#COVID19 https://t.co/DC6c6iHrl3"
42,This is like “trading Yu Darvish for nothing” levels of stupid by the Ricketts clan
43,"Nebraska's governor says undocumented workers in meat plants are not eligible for the #COVID19 vaccine because they are ""not permitted to work in those facilities.""

Studies show:
- 66% of Nebraska meat workers are undocumented
- 69% of undocumented people are essential workers https://t.co/I6M4JIrwAA"
44,"#COVID19 risk multiplies with each risk factor - indoors, poor ventilation, more time spent, crowding, speaking/ shouting and lack of mask - cumulative effect means red zone - highest chance of spread of #COVID19 https://t.co/6uxA1qSmBm"
45,RT @_FucknBossChick: Makes sense.
46,"Nightly ponder. ALL strict cities, states who CAN'T/UNABLE to lower #COVID19 #s. Have high taxes, massively corrupt, poor education, quality of life. Abolitionists for the Bill of Rights especially 2A which explains their crime rate. All Dems. PROBLEM?
https://t.co/je7MtknrF2"
47,"Nick Aguirre, 42, Marketing Dir, Yuma Nursing Center, Yuma, AZ, died from #COVID19. He was extremely talented with fixing cars  and DIY projects. There was nothing Nick could not do. He leaves a wife &amp; 3 daughters 
h/t: @CTZebra https://t.co/rvS2koKk4W"
48,"@AFP #Coronavirus and the decisive explanatory-statement, and it is not a joke.. #COVID19 

Imam Nasser Mohammad Al-Yemeni
26 - Ramadan - 1441 AH
19 - 05 - 2020 AD 📩 https://t.co/QPJpticUZI"
49,"'EMBARRASING.' While some countries have begun mass vaccination against #COVID19, the Philippines is still stuck at studying which brand should be procured. 

READ: https://t.co/sfShABwXox https://t.co/olLRwbVBhw"
50,"@SeattleCPA @MartinKulldorff @bealelab Here's what happens when things start to actually break.

An Egyptian ICU loses an entire ward when the oxygen runs out:

https://t.co/wFcjq12t8m"
51,"New daily high for cases and close to high for daily deaths

Terrible

Johnson and Starmer were both supporting schools return on Sunday

All non-essential workplaces should be closed!"
52,fuck corona fuck this fucking pandemic i want my dream team bois to meet up and vibe
53,"Socialist countries have dealt with Covid19 way better rn than the Western capitalist pigs btw. Vietnam, Cuban, China numbers all way better. These are facts. Facts are inconvenient when it doesn't align with propaganda"
54,"Go ahead &amp; just TRY to work a deboning shift, buddy"
55,I don’t blame him honestly
56,"Saramaria Ramirez, 36yo Nurse at a Los Angeles nursing home, died of #covid19 5/27. She loved nature, the beach and parks. She'd put her head on her husband's lap, as they lounged on the couch, watching movies. She leaves a 10yo son. #healthcareheroes https://t.co/aO156njsto https://t.co/MmHvJdXPMm"
57,"In the midst of the #COVID19 pandemic, the highest-paid CEOs in Canada have already earned more in 2021 than the average Canadian worker will earn all year.

No truly democratic country would tolerate inequality this extreme.

https://t.co/UBZympIQlv #cdnpoli #inequality"
58,"Darlene Peters, 58yo Therapist, Swinomish Tribe, WA, died of #covid19 12/17. She understood the power of education to change lives, &amp; the deeper impact that rising above individual trauma can have on personal lives &amp; future generations. #healthcareheroes 
https://t.co/LlAw5yw3ro https://t.co/gOZxMgZYjJ"
